id,geoid,geo_name,county,state,total_pop,perc_white,perc_black,perc_nativ_indian_ak,perc_asian,perc_haw,perc_other,perc_two_more
1400000US48453001828,48453001828,Census Tract 18.28,Travis County,Texas,4273,0.825649426632343,0.050315937280599,0.002808331383103,0.049379826819565,0,0.009361104610344,0.062485373274046
1400000US48029191810,48029191810,Census Tract 1918.10,Bexar County,Texas,4275,0.770058479532164,0.04280701754386,0,0.075555555555556,0,0.07766081871345,0.033918128654971
1400000US48121020111,48121020111,Census Tract 201.11,Denton County,Texas,4276,0.813143124415341,0.073433115060805,0,0.092609915809168,0,0.005846585594013,0.014967259120674
1400000US48253020500,48253020500,Census Tract 205,Jones County,Texas,4276,0.9733395696913,0.007015902712816,0.003741814780168,0,0,0.003741814780168,0.012160898035547
1400000US48167723800,48167723800,Census Tract 7238,Galveston County,Texas,4277,0.917465513210194,0.064998830956278,0.002104278700023,0.005845218611176,0,0.008417114800094,0.001169043722235
1400000US48355003204,48355003204,Census Tract 32.04,Nueces County,Texas,4277,0.935468786532616,0.007481879822305,0.002805704933365,0.013794715922376,0,0.017068038344634,0.023380874444704
1400000US48141004317,48141004317,Census Tract 43.17,El Paso County,Texas,4281,0.779257182901191,0.110488203690726,0,0.010511562718991,0,0.068441952814763,0.031301097874329
1400000US48039661200,48039661200,Census Tract 6612,Brazoria County,Texas,4283,0.92878823254728,0.034555218304927,0.005136586504786,0.009806210600047,0,0.010973616623862,0.010740135419099
1400000US48113014408,48113014408,Census Tract 144.08,Dallas County,Texas,4284,0.384453781512605,0.158029878618114,0.017740429505135,0.084267040149393,0,0.332166199813259,0.023342670401494
1400000US48355002001,48355002001,Census Tract 20.01,Nueces County,Texas,4284,0.956115779645191,0.004668534080299,0,0.002334267040149,0,0.02077497665733,0.016106442577031
1400000US48113019032,48113019032,Census Tract 190.32,Dallas County,Texas,4287,0.709587123862841,0.053883834849545,0.007697690692792,0.132027058549102,0,0.026125495684628,0.070678796361092
1400000US48085030407,48085030407,Census Tract 304.07,Collin County,Texas,4288,0.815065298507463,0.055970149253731,0.002565298507463,0.108675373134328,0,0.005830223880597,0.011893656716418
1400000US48113018205,48113018205,Census Tract 182.05,Dallas County,Texas,4290,0.665268065268065,0.171328671328671,0.005128205128205,0.081351981351981,0,0.066200466200466,0.010722610722611
1400000US48439111529,48439111529,Census Tract 1115.29,Tarrant County,Texas,4290,0.86993006993007,0.031468531468532,0.004662004662005,0.031934731934732,0.008857808857809,0.023310023310023,0.02983682983683
