Crash ID,Agency,Case ID,County,Crash Date,Crash Death Count,Latitude,Longitude,Person Death Count,Person Type
13332441,SAN ANTONIO POLICE DEPARTMENT,sapd13135277,BEXAR,2013-06-24,1,29.50842902,-98.5809215,1,4 - PEDESTRIAN
13346483,SAN ANTONIO POLICE DEPARTMENT,SAPD13139297,BEXAR,2013-06-28,1,29.48956229,-98.69141796,1,4 - PEDESTRIAN
13342697,SAN ANTONIO POLICE DEPARTMENT,SAPD13141857,BEXAR,2013-07-02,1,29.48093286,-98.35961259,1,4 - PEDESTRIAN
13344587,SAN ANTONIO POLICE DEPARTMENT,SAPD13143258,BEXAR,2013-07-03,1,29.44063497,-98.497994,1,4 - PEDESTRIAN
13369770,SAN ANTONIO POLICE DEPARTMENT,SAPD13157771,BEXAR,2013-07-21,1,29.59042047,-98.47382879,1,4 - PEDESTRIAN
13377545,BEXAR COUNTY LAW ENFORCEMENT,2013-BCSO-030910,BEXAR,2013-07-25,1,29.4704965,-98.31276607,1,4 - PEDESTRIAN
13377939,SAN ANTONIO POLICE DEPARTMENT,SAPD 13162937,BEXAR,2013-07-28,1,29.42075604,-98.47442627,1,4 - PEDESTRIAN
13416227,SAN ANTONIO POLICE DEPARTMENT,SAPD13168935,BEXAR,2013-08-05,1,29.53404857,-98.39075431,1,4 - PEDESTRIAN
13406470,SAN ANTONIO POLICE DEPARTMENT,SAPD13179374,BEXAR,2013-08-17,1,29.41828497,-98.5555823,1,4 - PEDESTRIAN
13728047,SAN ANTONIO POLICE DEPARTMENT,SAPD13179583,BEXAR,2013-08-18,1,No Data,No Data,1,4 - PEDESTRIAN
13430195,SAN ANTONIO POLICE DEPARTMENT,13192594,BEXAR,2013-09-03,1,29.42959987,-98.49968539,1,4 - PEDESTRIAN
13437855,SAN ANTONIO POLICE DEPARTMENT,SAPD13196632,BEXAR,2013-09-07,1,29.3687649,-98.4960353,1,4 - PEDESTRIAN
13444722,SAN ANTONIO POLICE DEPARTMENT,SAPD13199502,BEXAR,2013-09-11,1,No Data,No Data,1,4 - PEDESTRIAN
13458293,SAN ANTONIO POLICE DEPARTMENT,SAPD13202284,BEXAR,2013-09-14,1,29.58325296,-98.36543727,1,4 - PEDESTRIAN
13469430,SAN ANTONIO POLICE DEPARTMENT,SAPD13212371,BEXAR,2013-09-27,1,29.47533873,-98.53687008,1,4 - PEDESTRIAN
13545904,BALCONES HEIGHTS POLICE DEPARTMENT,1305392,BEXAR,2013-10-02,1,29.48882281,-98.55019203,1,4 - PEDESTRIAN
13485505,SAN ANTONIO POLICE DEPARTMENT,SAPD13221972,BEXAR,2013-10-09,1,29.4451686,-98.52493099,1,4 - PEDESTRIAN
13508871,SAN ANTONIO POLICE DEPARTMENT,SAPD13231410,BEXAR,2013-10-21,1,29.42618467,-98.51733192,1,4 - PEDESTRIAN
13513623,SAN ANTONIO POLICE DEPARTMENT,SAPD13233113,BEXAR,2013-10-23,1,29.44927658,-98.58139853,1,4 - PEDESTRIAN
13533279,SAN ANTONIO POLICE DEPARTMENT,SAPD13236051,BEXAR,2013-10-26,1,29.33716489,-98.50387898,1,4 - PEDESTRIAN
13524216,SAN ANTONIO POLICE DEPARTMENT,SAPD13240286,BEXAR,2013-10-31,1,29.55378711,-98.40313625,1,4 - PEDESTRIAN
13526132,SAN ANTONIO POLICE DEPARTMENT,SAPD13240486,BEXAR,2013-11-01,1,29.40429394,-98.52007217,1,4 - PEDESTRIAN
13537983,SAN ANTONIO POLICE DEPARTMENT,SAPD13245955,BEXAR,2013-11-07,1,29.480098,-98.5349323,1,4 - PEDESTRIAN
13576843,SAN ANTONIO POLICE DEPARTMENT,SAPD13248584,BEXAR,2013-11-11,1,29.39005782,-98.3528097,1,4 - PEDESTRIAN
13546335,SAN ANTONIO POLICE DEPARTMENT,SAPD13250020,BEXAR,2013-11-12,1,29.45738912,-98.68884078,1,4 - PEDESTRIAN
13570586,SAN ANTONIO POLICE DEPARTMENT,SAPD13259249,BEXAR,2013-11-24,1,29.37388931,-98.48128915,1,4 - PEDESTRIAN
13581796,SAN ANTONIO POLICE DEPARTMENT,SAPD13259739,BEXAR,2013-11-25,1,29.38517965,-98.47349232,1,4 - PEDESTRIAN
13596751,SAN ANTONIO POLICE DEPARTMENT,SAPD13273483,BEXAR,2013-12-14,1,29.49750045,-98.59266745,1,4 - PEDESTRIAN
13602514,SAN ANTONIO POLICE DEPARTMENT,SAPD13276479,BEXAR,2013-12-18,1,29.33258975,-98.41778185,1,4 - PEDESTRIAN
13614468,SAN ANTONIO POLICE DEPARTMENT,SAPD13282566,BEXAR,2013-12-26,1,29.34308499,-98.60256229,1,4 - PEDESTRIAN
13623468,SAN ANTONIO POLICE DEPARTMENT,SAPD13282811,BEXAR,2013-12-26,1,29.44687572,-98.5425004,1,4 - PEDESTRIAN
13625871,SAN ANTONIO POLICE DEPARTMENT,SAPD14000182,BEXAR,2014-01-01,1,29.58721413,-98.6306486,1,4 - PEDESTRIAN
13634857,BEXAR COUNTY LAW ENFORCEMENT,2014-BCSO-000844,BEXAR,2014-01-07,1,29.36281981,-98.35913201,1,4 - PEDESTRIAN
13642163,SAN ANTONIO POLICE DEPARTMENT,SAPD14010397,BEXAR,2014-01-14,1,29.51272967,-98.55276337,1,4 - PEDESTRIAN
13654493,SAN ANTONIO POLICE DEPARTMENT,SAPD14010681,BEXAR,2014-01-15,1,29.54721697,-98.52599027,1,4 - PEDESTRIAN
13658609,SAN ANTONIO POLICE DEPARTMENT,SAPD14015990,BEXAR,2014-01-21,1,29.46644559,-98.52083462,1,4 - PEDESTRIAN
13669147,SAN ANTONIO POLICE DEPARTMENT,SAPD14015901,BEXAR,2014-01-21,1,29.51488867,-98.57103638,1,4 - PEDESTRIAN
13663261,SAN ANTONIO POLICE DEPARTMENT,SAPD14021385,BEXAR,2014-01-28,1,29.45839637,-98.31864679,1,4 - PEDESTRIAN
13679790,SAN ANTONIO POLICE DEPARTMENT,SAPD14024665,BEXAR,2014-02-01,1,29.51602469,-98.42192462,1,4 - PEDESTRIAN
13671755,SAN ANTONIO POLICE DEPARTMENT,SAPD14026085,BEXAR,2014-02-04,1,29.36227293,-98.60151475,1,4 - PEDESTRIAN
13674893,SAN ANTONIO POLICE DEPARTMENT,SAPD14026682,BEXAR,2014-02-04,1,No Data,No Data,1,4 - PEDESTRIAN
13694243,SAN ANTONIO POLICE DEPARTMENT,SAPD14035848,BEXAR,2014-02-17,1,29.44398403,-98.36422568,1,4 - PEDESTRIAN
